"Data Import Template"
"Table:","JobType"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","JobType","","",""
"Column Labels:","ID","Created On","Created By","Title"
"Column Name:","name","creation","owner","title"
"Mandatory:","Yes","No","No","No"
"Type:","Data","Datetime","Link","Data"
"Info:","","dd-mm-yyyy","Valid User",""
"Start entering data below this line"
"","""Electrical""","2025-06-20 10:08:31.159390","Administrator","Electrical"
"","""Equipment Installation and Maintenance""","2025-06-20 10:10:09.963990","Administrator","Equipment Installation and Maintenance"
"","""Joineries and Wood Work""","2025-06-20 10:09:20.341767","Administrator","Joineries and Wood Work"
"","""Other""","2025-06-20 10:10:22.836511","Administrator","Other"
"","""Painting & Decorating""","2025-06-20 10:09:35.143878","Administrator","Painting & Decorating"
"","""Sanitary, Plumbing, Toilets & Washroom""","2025-06-20 10:09:59.485237","Administrator","Sanitary, Plumbing, Toilets & Washroom"
